REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VP4-77
PATNUM:,1366A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000811
LOWFRQ:,7750
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,37.5
MDGAIN:,37.9
HGGAIN:,38.3
AZWIDT:,2.20
ELWIDT:,2.20
ATVSWR:,1.15
FRTOBA:,46.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,51
-180.00,-46.00,
-170.00,-46.00,
-170.00,-50.00,
-130.00,-50.00,
-120.00,-48.00,
-107.00,-40.00,
-84.00,-36.00,
-20.00,-36.00,
-15.00,-33.00,
-11.00,-28.00,
-9.00,-27.00,
-7.50,-22.00,
-5.00,-22.00,
-4.00,-18.00,
-2.40,-18.00,
-2.16,-13.60,
-1.99,-11.20,
-1.83,-8.70,
-1.65,-6.70,
-1.46,-4.90,
-1.16,-3.00,
-0.92,-1.60,
-0.66,-0.60,
-0.42,-0.20,
-0.16,0.00,
0.00,0.00,
0.16,0.00,
0.42,-0.20,
0.66,-0.60,
0.92,-1.60,
1.16,-3.00,
1.46,-4.90,
1.65,-6.70,
1.83,-8.70,
1.99,-11.20,
2.16,-13.60,
2.40,-18.00,
4.00,-18.00,
5.00,-22.00,
7.50,-22.00,
9.00,-27.00,
11.00,-28.00,
15.00,-33.00,
20.00,-36.00,
84.00,-36.00,
107.00,-40.00,
120.00,-48.00,
130.00,-50.00,
170.00,-50.00,
170.00,-46.00,
180.00,-46.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-52.00,
-80.00,-52.00,
-60.00,-50.00,
-50.00,-48.00,
-30.00,-48.00,
-26.00,-46.00,
-18.00,-46.00,
-15.00,-44.00,
-7.00,-44.00,
-5.00,-40.00,
-3.00,-32.00,
0.00,-32.00,
3.00,-32.00,
5.00,-40.00,
7.00,-44.00,
15.00,-44.00,
18.00,-46.00,
26.00,-46.00,
30.00,-48.00,
50.00,-48.00,
60.00,-50.00,
80.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,53
-180.00,-46.00,
-175.00,-46.00,
-175.00,-50.00,
-112.00,-50.00,
-100.00,-42.00,
-80.00,-38.00,
-45.00,-38.00,
-42.00,-36.00,
-30.00,-36.00,
-24.00,-29.30,
-20.00,-29.30,
-20.00,-27.30,
-15.00,-27.30,
-10.00,-27.30,
-8.00,-24.00,
-2.90,-22.00,
-2.67,-17.90,
-2.43,-14.00,
-2.19,-10.80,
-1.87,-7.00,
-1.60,-5.00,
-1.31,-3.10,
-1.06,-1.90,
-0.72,-0.70,
-0.50,-0.40,
-0.21,0.00,
0.00,0.00,
0.21,0.00,
0.50,-0.40,
0.72,-0.70,
1.06,-1.90,
1.31,-3.10,
1.60,-5.00,
1.87,-7.00,
2.19,-10.80,
2.43,-14.00,
2.67,-17.90,
2.90,-22.00,
8.00,-24.00,
10.00,-27.30,
15.00,-27.30,
20.00,-27.30,
20.00,-29.30,
24.00,-29.30,
30.00,-36.00,
42.00,-36.00,
45.00,-38.00,
80.00,-38.00,
100.00,-42.00,
112.00,-50.00,
175.00,-50.00,
175.00,-46.00,
180.00,-46.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.00,-50.00,
-170.00,-50.00,
-170.00,-54.00,
-110.00,-54.00,
-50.00,-52.00,
-15.00,-52.00,
-10.00,-48.00,
-5.00,-44.00,
-3.00,-32.00,
0.00,-32.00,
3.00,-32.00,
5.00,-44.00,
10.00,-48.00,
15.00,-52.00,
50.00,-52.00,
110.00,-54.00,
170.00,-54.00,
170.00,-50.00,
180.00,-50.00,
ENDFIL:,EOF
