REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,KP8F-820
PATNUM:,3613
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19950302
LOWFRQ:,820
HGHFRQ:,960
GUNITS:,DBI/DBR
LWGAIN:,23.4
MDGAIN:,24.1
HGGAIN:,24.7
AZWIDT:,8.00
ELWIDT:,9.00
ATVSWR:,1.35
FRTOBA:,25.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,53
-180.00,-26.00,
-172.00,-26.00,
-167.00,-29.00,
-62.50,-29.00,
-18.50,-16.00,
-15.00,-16.00,
-10.00,-16.00,
-9.50,-14.30,
-9.00,-12.60,
-8.50,-11.00,
-8.00,-9.50,
-7.50,-8.30,
-7.00,-7.20,
-6.50,-6.20,
-6.00,-5.30,
-5.50,-4.40,
-5.00,-3.60,
-4.50,-2.90,
-4.00,-2.30,
-3.50,-1.70,
-3.00,-1.30,
-2.50,-0.90,
-2.00,-0.50,
-1.50,-0.40,
-1.00,-0.20,
-0.50,-0.10,
0.00,0.00,
0.50,-0.10,
1.00,-0.20,
1.50,-0.40,
2.00,-0.50,
2.50,-0.90,
3.00,-1.30,
3.50,-1.70,
4.00,-2.30,
4.50,-2.90,
5.00,-3.60,
5.50,-4.40,
6.00,-5.30,
6.50,-6.20,
7.00,-7.20,
7.50,-8.30,
8.00,-9.50,
8.50,-11.00,
9.00,-12.60,
9.50,-14.30,
10.00,-16.00,
15.00,-16.00,
18.50,-16.00,
62.50,-29.00,
167.00,-29.00,
172.00,-26.00,
180.00,-26.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,9
-180.00,-35.00,
-90.00,-35.00,
-89.00,-34.00,
-15.00,-34.00,
0.00,-34.00,
15.00,-34.00,
89.00,-34.00,
90.00,-35.00,
180.00,-35.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,49
-180.00,-25.00,
-148.00,-25.00,
-140.00,-24.00,
-140.00,-22.00,
-100.00,-22.00,
-96.50,-20.00,
-20.00,-20.00,
-15.00,-11.00,
-8.00,-11.00,
-7.50,-9.80,
-7.00,-8.40,
-6.50,-7.10,
-6.00,-5.90,
-5.50,-4.80,
-5.00,-3.80,
-4.50,-3.10,
-4.00,-2.40,
-3.50,-1.70,
-3.00,-1.30,
-2.50,-0.80,
-2.00,-0.50,
-1.50,-0.20,
-1.00,-0.10,
-0.50,0.00,
0.00,0.00,
0.50,0.00,
1.00,-0.10,
1.50,-0.20,
2.00,-0.50,
2.50,-0.80,
3.00,-1.30,
3.50,-1.70,
4.00,-2.40,
4.50,-3.10,
5.00,-3.80,
5.50,-4.80,
6.00,-5.90,
6.50,-7.10,
7.00,-8.40,
7.50,-9.80,
8.00,-11.00,
15.00,-11.00,
20.00,-20.00,
96.50,-20.00,
100.00,-22.00,
140.00,-22.00,
140.00,-24.00,
148.00,-25.00,
180.00,-25.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,9
-180.00,-35.00,
-90.00,-35.00,
-89.00,-34.00,
-15.00,-34.00,
0.00,-34.00,
15.00,-34.00,
89.00,-34.00,
90.00,-35.00,
180.00,-35.00,
ENDFIL:,EOF
