REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,KP10F-820
PATNUM:,2996B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19950303
LOWFRQ:,820
HGHFRQ:,960
GUNITS:,DBI/DBR
LWGAIN:,25.2
MDGAIN:,25.9
HGGAIN:,26.5
AZWIDT:,6.70
ELWIDT:,8.00
ATVSWR:,1.35
FRTOBA:,25.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,51
-180.00,-30.00,
-61.00,-30.00,
-56.00,-26.50,
-32.00,-26.50,
-18.00,-17.00,
-15.00,-17.00,
-9.50,-17.00,
-9.00,-15.00,
-8.50,-13.10,
-8.00,-11.50,
-7.50,-10.00,
-7.00,-8.60,
-6.50,-7.30,
-6.00,-6.00,
-5.50,-4.90,
-5.00,-4.00,
-4.50,-3.20,
-4.00,-2.50,
-3.50,-1.90,
-3.00,-1.40,
-2.50,-1.00,
-2.00,-0.70,
-1.50,-0.40,
-1.00,-0.20,
-0.50,0.00,
0.00,0.00,
0.50,0.00,
1.00,-0.20,
1.50,-0.40,
2.00,-0.70,
2.50,-1.00,
3.00,-1.40,
3.50,-1.90,
4.00,-2.50,
4.50,-3.20,
5.00,-4.00,
5.50,-4.90,
6.00,-6.00,
6.50,-7.30,
7.00,-8.60,
7.50,-10.00,
8.00,-11.50,
8.50,-13.10,
9.00,-15.00,
9.50,-17.00,
15.00,-17.00,
18.00,-17.00,
32.00,-26.50,
56.00,-26.50,
61.00,-30.00,
180.00,-30.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,5
-180.00,-35.00,
-15.00,-35.00,
0.00,-35.00,
15.00,-35.00,
180.00,-35.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.00,-28.00,
-141.00,-28.00,
-131.00,-22.00,
-28.00,-22.00,
-20.00,-18.00,
-18.00,-18.00,
-15.00,-16.00,
-10.00,-13.00,
-7.00,-13.00,
-6.50,-11.60,
-6.00,-10.10,
-5.50,-8.50,
-5.00,-6.90,
-4.50,-5.50,
-4.00,-4.10,
-3.50,-3.10,
-3.00,-2.20,
-2.50,-1.50,
-2.00,-1.00,
-1.50,-0.60,
-1.00,-0.30,
-0.50,-0.10,
0.00,0.00,
0.50,-0.10,
1.00,-0.30,
1.50,-0.60,
2.00,-1.00,
2.50,-1.50,
3.00,-2.20,
3.50,-3.10,
4.00,-4.10,
4.50,-5.50,
5.00,-6.90,
5.50,-8.50,
6.00,-10.10,
6.50,-11.60,
7.00,-13.00,
10.00,-13.00,
15.00,-16.00,
18.00,-18.00,
20.00,-18.00,
28.00,-22.00,
131.00,-22.00,
141.00,-28.00,
180.00,-28.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,9
-180.00,-36.00,
-15.00,-36.00,
-9.50,-36.00,
-7.50,-34.00,
0.00,-34.00,
7.50,-34.00,
9.50,-36.00,
15.00,-36.00,
180.00,-36.00,
ENDFIL:,EOF
