REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,MKP-820
PATNUM:,3470B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19831111
LOWFRQ:,820
HGHFRQ:,960
GUNITS:,DBI/DBR
LWGAIN:,18.0
MDGAIN:,18.2
HGGAIN:,18.5
AZWIDT:,10.00
ELWIDT:,20.00
ATVSWR:,1.50
FRTOBA:,15.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-29.50,
-134.00,-15.50,
-117.80,-15.50,
-107.00,-21.50,
-50.00,-21.60,
-37.50,-12.00,
-15.00,-12.00,
-15.00,-8.30,
-14.00,-7.10,
-13.00,-5.90,
-12.00,-4.90,
-11.00,-3.90,
-10.00,-3.10,
-9.00,-2.40,
-8.00,-1.80,
-7.00,-1.30,
-6.00,-1.01,
-5.00,-1.00,
-3.00,-0.40,
0.00,0.00,
3.00,-0.40,
5.00,-1.00,
6.00,-1.01,
7.00,-1.30,
8.00,-1.80,
9.00,-2.40,
10.00,-3.10,
11.00,-3.90,
12.00,-4.90,
13.00,-5.90,
14.00,-7.10,
15.00,-8.30,
15.00,-12.00,
37.50,-12.00,
50.00,-21.60,
107.00,-21.50,
117.80,-15.50,
134.00,-15.50,
180.00,-29.50,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-31.40,
-147.00,-31.40,
-138.00,-27.80,
-57.50,-27.60,
-52.50,-24.00,
-15.00,-24.00,
-10.00,-24.00,
-4.00,-21.00,
0.00,-20.00,
4.00,-21.00,
10.00,-24.00,
15.00,-24.00,
52.50,-24.00,
57.50,-27.60,
138.00,-27.80,
147.00,-31.40,
180.00,-31.40,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.00,-29.50,
-148.00,-16.20,
-111.00,-16.20,
-97.50,-13.50,
-92.50,-13.50,
-57.50,-16.70,
-38.00,-16.70,
-19.00,-11.70,
-15.00,-11.70,
-9.20,-11.70,
-8.00,-8.10,
-7.00,-5.60,
-6.00,-3.90,
-5.00,-2.50,
-4.50,-2.00,
-4.00,-1.70,
-3.50,-1.20,
-3.00,-0.90,
-2.50,-0.70,
-2.00,-0.50,
-1.50,-0.30,
0.00,0.00,
1.50,-0.30,
2.00,-0.50,
2.50,-0.70,
3.00,-0.90,
3.50,-1.20,
4.00,-1.70,
4.50,-2.00,
5.00,-2.50,
6.00,-3.90,
7.00,-5.60,
8.00,-8.10,
9.20,-11.70,
15.00,-11.70,
19.00,-11.70,
38.00,-16.70,
57.50,-16.70,
92.50,-13.50,
97.50,-13.50,
111.00,-16.20,
148.00,-16.20,
180.00,-29.50,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-31.40,
-147.00,-31.40,
-138.00,-27.80,
-57.50,-27.60,
-52.50,-24.00,
-15.00,-24.00,
-10.00,-24.00,
-4.00,-21.00,
0.00,-20.00,
4.00,-21.00,
10.00,-24.00,
15.00,-24.00,
52.50,-24.00,
57.50,-27.60,
138.00,-27.80,
147.00,-31.40,
180.00,-31.40,
ENDFIL:,EOF
