REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,KP13F-820
PATNUM:,2998C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19950303
LOWFRQ:,820
HGHFRQ:,960
GUNITS:,DBI/DBR
LWGAIN:,27.3
MDGAIN:,28.0
HGGAIN:,28.6
AZWIDT:,4.90
ELWIDT:,5.80
ATVSWR:,1.35
FRTOBA:,30.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,47
-180.00,-29.00,
-171.00,-29.00,
-168.00,-31.00,
-63.00,-31.00,
-55.00,-26.00,
-22.00,-26.00,
-15.00,-20.50,
-10.00,-16.50,
-7.50,-16.50,
-7.00,-14.70,
-6.50,-12.70,
-6.00,-10.40,
-5.50,-8.40,
-5.00,-6.70,
-4.50,-5.30,
-4.00,-4.10,
-3.50,-3.00,
-3.00,-2.10,
-2.50,-1.30,
-2.00,-0.70,
-1.50,-0.30,
-1.00,-0.10,
-0.50,0.00,
0.00,0.00,
0.50,0.00,
1.00,-0.10,
1.50,-0.30,
2.00,-0.70,
2.50,-1.30,
3.00,-2.10,
3.50,-3.00,
4.00,-4.10,
4.50,-5.30,
5.00,-6.70,
5.50,-8.40,
6.00,-10.40,
6.50,-12.70,
7.00,-14.70,
7.50,-16.50,
10.00,-16.50,
15.00,-20.50,
22.00,-26.00,
55.00,-26.00,
63.00,-31.00,
168.50,-31.00,
171.50,-29.00,
180.00,-29.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,9
-180.00,-36.00,
-15.00,-36.00,
-8.00,-36.00,
-6.50,-33.00,
0.00,-33.00,
6.50,-33.00,
8.00,-36.00,
15.00,-36.00,
180.00,-36.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.00,-30.00,
-151.00,-30.00,
-142.00,-26.00,
-91.00,-26.00,
-89.50,-24.00,
-30.00,-24.00,
-24.00,-24.00,
-21.00,-19.00,
-15.00,-16.50,
-8.00,-13.50,
-5.50,-13.50,
-5.00,-11.30,
-4.50,-8.80,
-4.00,-6.60,
-3.50,-4.90,
-3.00,-3.60,
-2.50,-2.40,
-2.00,-1.40,
-1.50,-0.70,
-1.00,-0.20,
-0.50,-0.10,
0.00,0.00,
0.50,-0.10,
1.00,-0.20,
1.50,-0.70,
2.00,-1.40,
2.50,-2.40,
3.00,-3.60,
3.50,-4.90,
4.00,-6.60,
4.50,-8.80,
5.00,-11.30,
5.50,-13.50,
8.00,-13.50,
15.00,-16.50,
21.00,-19.00,
24.00,-24.00,
30.00,-24.00,
89.50,-24.00,
91.50,-26.00,
142.00,-26.00,
151.00,-30.00,
180.00,-30.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,5
-180.00,-36.00,
-15.00,-36.00,
0.00,-36.00,
15.00,-36.00,
180.00,-36.00,
ENDFIL:,EOF
