REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PXL6-82
PATNUM:,2851C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19921102
LOWFRQ:,8200
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,41.0
MDGAIN:,41.1
HGGAIN:,41.2
AZWIDT:,1.30
ELWIDT:,1.30
ATVSWR:,1.06
FRTOBA:,48.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-48.00,
-170.00,-48.00,
-170.00,-49.00,
-125.00,-49.00,
-110.00,-41.00,
-60.00,-41.00,
-25.00,-40.00,
-15.00,-35.00,
-7.50,-35.00,
-2.50,-18.00,
-1.80,-18.00,
-1.60,-14.10,
-1.40,-10.81,
-1.20,-7.93,
-1.00,-5.51,
-0.80,-3.53,
-0.60,-1.98,
-0.40,-0.88,
-0.20,-0.22,
0.00,0.00,
0.20,-0.22,
0.40,-0.88,
0.60,-1.98,
0.80,-3.53,
1.00,-5.51,
1.20,-7.93,
1.40,-10.81,
1.60,-14.10,
1.80,-18.00,
2.50,-18.00,
7.50,-35.00,
15.00,-35.00,
25.00,-40.00,
60.00,-41.00,
110.00,-41.00,
125.00,-49.00,
170.00,-49.00,
170.00,-48.00,
180.00,-48.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.00,-60.00,
-140.00,-60.00,
-105.00,-55.00,
-30.00,-55.00,
-15.00,-49.00,
-4.00,-47.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
4.00,-47.00,
15.00,-49.00,
30.00,-55.00,
105.00,-55.00,
140.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-48.00,
-170.00,-48.00,
-170.00,-49.00,
-125.00,-49.00,
-110.00,-41.00,
-60.00,-41.00,
-25.00,-40.00,
-15.00,-38.00,
-1.95,-21.00,
-1.80,-17.85,
-1.60,-14.10,
-1.40,-10.80,
-1.20,-7.93,
-1.00,-5.51,
-0.80,-3.53,
-0.60,-1.98,
-0.40,-0.88,
-0.20,-0.22,
0.00,0.00,
0.20,-0.22,
0.40,-0.88,
0.60,-1.98,
0.80,-3.53,
1.00,-5.51,
1.20,-7.93,
1.40,-10.80,
1.60,-14.10,
1.80,-17.85,
1.95,-21.00,
15.00,-38.00,
25.00,-40.00,
60.00,-41.00,
110.00,-41.00,
125.00,-49.00,
170.00,-49.00,
170.00,-48.00,
180.00,-48.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.00,-60.00,
-140.00,-60.00,
-105.00,-55.00,
-30.00,-55.00,
-15.00,-53.00,
-4.00,-47.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
4.00,-47.00,
15.00,-53.00,
30.00,-55.00,
105.00,-55.00,
140.00,-60.00,
180.00,-60.00,
ENDFIL:,EOF
