REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL8-82
PATNUM:,2897C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19790215
LOWFRQ:,8200
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,43.4
MDGAIN:,43.5
HGGAIN:,43.7
AZWIDT:,1.10
ELWIDT:,1.10
ATVSWR:,1.06
FRTOBA:,50.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,31
-180.00,-50.00,
-170.00,-50.00,
-170.00,-60.00,
-128.50,-60.00,
-110.00,-48.00,
-65.00,-45.00,
-28.50,-45.00,
-20.00,-42.00,
-15.00,-42.00,
-11.50,-40.00,
-8.40,-40.00,
-1.80,-25.00,
-1.50,-18.00,
-1.00,-7.00,
-0.50,-1.10,
0.00,0.00,
0.50,-1.10,
1.00,-7.00,
1.50,-18.00,
1.80,-25.00,
8.40,-40.00,
11.50,-40.00,
15.00,-42.00,
20.00,-42.00,
28.50,-45.00,
65.00,-45.00,
110.00,-48.00,
128.50,-60.00,
170.00,-60.00,
170.00,-50.00,
180.00,-50.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-58.00,
-170.00,-58.00,
-170.00,-65.00,
-119.00,-65.00,
-80.00,-58.00,
-20.00,-58.00,
-15.00,-56.00,
-12.50,-49.90,
-5.90,-49.90,
-1.90,-43.00,
-1.40,-30.00,
0.00,-30.00,
1.40,-30.00,
1.90,-43.00,
5.90,-49.90,
12.50,-49.90,
15.00,-56.00,
20.00,-58.00,
80.00,-58.00,
119.00,-65.00,
170.00,-65.00,
170.00,-58.00,
180.00,-58.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,33
-180.00,-50.00,
-170.00,-50.00,
-170.00,-60.00,
-120.00,-60.00,
-105.50,-47.00,
-90.00,-47.00,
-74.00,-52.00,
-55.00,-52.00,
-25.00,-38.00,
-13.50,-38.00,
-11.50,-34.00,
-4.00,-34.00,
-1.80,-25.00,
-1.50,-18.00,
-1.00,-7.00,
-0.50,-1.10,
0.00,0.00,
0.50,-1.10,
1.00,-7.00,
1.50,-18.00,
1.80,-25.00,
4.00,-34.00,
11.50,-34.00,
13.50,-38.00,
25.00,-38.00,
55.00,-52.00,
74.00,-52.00,
90.00,-47.00,
105.50,-47.00,
120.00,-60.00,
170.00,-60.00,
170.00,-50.00,
180.00,-50.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-58.00,
-170.00,-58.00,
-170.00,-65.00,
-119.00,-65.00,
-80.00,-58.00,
-15.00,-58.00,
-11.40,-53.00,
-5.00,-53.00,
-1.90,-44.00,
-1.40,-30.00,
0.00,-30.00,
1.40,-30.00,
1.90,-44.00,
5.00,-53.00,
11.40,-53.00,
15.00,-58.00,
80.00,-58.00,
119.00,-65.00,
170.00,-65.00,
170.00,-58.00,
180.00,-58.00,
ENDFIL:,EOF
