REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PXL10-82
PATNUM:,2855C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19810526
LOWFRQ:,8200
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,45.7
MDGAIN:,45.8
HGGAIN:,45.9
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.06
FRTOBA:,57.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,33
-180.00,-57.00,
-110.00,-57.00,
-96.00,-46.00,
-55.00,-46.00,
-50.10,-44.00,
-30.00,-44.00,
-25.00,-41.00,
-15.00,-38.00,
-13.00,-38.00,
-12.00,-34.00,
-8.70,-30.00,
-6.00,-30.00,
-5.00,-26.00,
-1.40,-24.00,
-1.00,-12.00,
-0.50,-3.00,
0.00,0.00,
0.50,-3.00,
1.00,-12.00,
1.40,-24.00,
5.00,-26.00,
6.00,-30.00,
8.70,-30.00,
12.00,-34.00,
13.00,-38.00,
15.00,-38.00,
25.00,-41.00,
30.00,-44.00,
50.10,-44.00,
55.00,-46.00,
96.00,-46.00,
110.00,-57.00,
180.00,-57.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.00,-60.00,
-175.00,-60.00,
-172.00,-63.00,
-120.00,-63.00,
-105.00,-60.00,
-27.50,-60.00,
-22.80,-53.00,
-15.00,-53.00,
-11.10,-49.00,
-4.00,-49.00,
-1.40,-39.00,
-0.90,-30.00,
0.00,-30.00,
0.90,-30.00,
1.40,-39.00,
4.00,-49.00,
11.10,-49.00,
15.00,-53.00,
22.80,-53.00,
27.50,-60.00,
105.00,-60.00,
120.00,-63.00,
172.00,-63.00,
175.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-57.00,
-173.00,-57.00,
-172.00,-58.00,
-108.50,-58.00,
-94.00,-47.00,
-33.00,-47.00,
-25.00,-45.10,
-25.00,-42.00,
-22.00,-41.00,
-15.00,-40.00,
-13.00,-38.00,
-8.50,-29.00,
-5.00,-29.00,
-5.00,-27.00,
-1.40,-27.00,
-1.40,-24.00,
-1.00,-12.00,
-0.50,-3.00,
0.00,0.00,
0.50,-3.00,
1.00,-12.00,
1.40,-24.00,
1.40,-27.00,
5.00,-27.00,
5.00,-29.00,
8.50,-29.00,
13.00,-38.00,
15.00,-40.00,
22.00,-41.00,
25.00,-42.00,
25.00,-45.10,
33.00,-47.00,
94.00,-47.00,
108.50,-58.00,
172.00,-58.00,
173.00,-57.00,
180.00,-57.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,25
-180.00,-61.00,
-172.00,-63.00,
-124.00,-63.00,
-120.00,-62.00,
-72.50,-62.00,
-62.50,-58.10,
-20.00,-58.10,
-15.00,-55.00,
-10.00,-50.00,
-6.10,-50.00,
-2.00,-40.00,
-0.90,-30.00,
0.00,-30.00,
0.90,-30.00,
2.00,-40.00,
6.10,-50.00,
10.00,-50.00,
15.00,-55.00,
20.00,-58.10,
62.50,-58.10,
72.50,-62.00,
120.00,-62.00,
124.00,-63.00,
172.00,-63.00,
180.00,-61.00,
ENDFIL:,EOF
