REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,LBX12-82
PATNUM:,4663
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000726
LOWFRQ:,8200
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,46.9
MDGAIN:,47.1
HGGAIN:,47.2
AZWIDT:,0.70
ELWIDT:,0.70
ATVSWR:,1.06
FRTOBA:,65.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,29
-180.00,-65.00,
-119.00,-65.00,
-100.00,-51.00,
-60.00,-51.00,
-45.00,-46.00,
-30.00,-46.00,
-20.00,-40.00,
-15.00,-40.00,
-7.00,-31.00,
-5.00,-31.00,
-2.50,-25.00,
-1.30,-25.00,
-1.00,-18.00,
-0.50,-3.00,
0.00,0.00,
0.50,-3.00,
1.00,-18.00,
1.30,-25.00,
2.50,-25.00,
5.00,-31.00,
7.00,-31.00,
15.00,-40.00,
20.00,-40.00,
30.00,-46.00,
45.00,-46.00,
60.00,-51.00,
100.00,-51.00,
119.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-66.00,
-95.00,-66.00,
-90.00,-65.00,
-25.00,-65.00,
-20.00,-59.00,
-15.00,-59.00,
-9.00,-51.00,
-6.00,-44.00,
-4.00,-44.00,
-1.50,-33.00,
0.00,-33.00,
1.50,-33.00,
4.00,-44.00,
6.00,-44.00,
9.00,-51.00,
15.00,-59.00,
20.00,-59.00,
25.00,-65.00,
90.00,-65.00,
95.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,29
-180.00,-65.00,
-119.00,-65.00,
-105.00,-50.00,
-60.00,-50.00,
-40.00,-48.00,
-25.00,-48.00,
-20.00,-41.00,
-15.00,-41.00,
-7.00,-31.00,
-4.00,-31.00,
-2.50,-25.00,
-1.30,-25.00,
-1.00,-18.00,
-0.50,-3.00,
0.00,0.00,
0.50,-3.00,
1.00,-18.00,
1.30,-25.00,
2.50,-25.00,
4.00,-31.00,
7.00,-31.00,
15.00,-41.00,
20.00,-41.00,
25.00,-48.00,
40.00,-48.00,
60.00,-50.00,
105.00,-50.00,
119.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-66.00,
-95.00,-66.00,
-90.00,-65.00,
-25.00,-65.00,
-20.00,-59.00,
-15.00,-59.00,
-9.00,-51.00,
-6.00,-44.00,
-4.00,-44.00,
-1.50,-33.00,
0.00,-33.00,
1.50,-33.00,
4.00,-44.00,
6.00,-44.00,
9.00,-51.00,
15.00,-59.00,
20.00,-59.00,
25.00,-65.00,
90.00,-65.00,
95.00,-66.00,
180.00,-66.00,
ENDFIL:,EOF
