REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX12-82
PATNUM:,2867C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19800812
LOWFRQ:,8200
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,47.1
MDGAIN:,47.2
HGGAIN:,47.3
AZWIDT:,0.70
ELWIDT:,0.70
ATVSWR:,1.06
FRTOBA:,70.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,27
-180.00,-70.00,
-91.00,-70.00,
-74.00,-58.00,
-45.00,-50.90,
-40.00,-50.90,
-30.00,-49.00,
-20.00,-39.00,
-12.00,-39.00,
-6.90,-32.00,
-4.00,-32.00,
-3.50,-30.00,
-1.00,-25.00,
-0.50,-5.00,
0.00,0.00,
0.50,-5.00,
1.00,-25.00,
3.50,-30.00,
4.00,-32.00,
6.90,-32.00,
12.00,-39.00,
20.00,-39.00,
30.00,-49.00,
40.00,-50.90,
45.00,-50.90,
74.00,-58.00,
91.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-75.00,
-90.00,-75.00,
-76.50,-70.00,
-44.00,-70.00,
-15.00,-62.30,
-11.30,-57.30,
-8.80,-50.90,
-2.80,-45.80,
-1.30,-42.00,
-0.80,-30.00,
0.00,-30.00,
0.80,-30.00,
1.30,-42.00,
2.80,-45.80,
8.80,-50.90,
11.30,-57.30,
15.00,-62.30,
44.00,-70.00,
76.50,-70.00,
90.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,32
-180.00,-72.20,
-86.50,-72.20,
-81.50,-70.20,
-70.50,-59.90,
-55.00,-59.00,
-52.00,-55.00,
-35.00,-54.00,
-25.00,-50.00,
-25.00,-45.00,
-12.50,-45.00,
-8.30,-37.20,
-6.00,-37.20,
-3.50,-35.00,
-1.00,-25.00,
-0.50,-5.00,
0.00,0.00,
0.50,-5.00,
1.00,-25.00,
3.50,-35.00,
6.00,-37.20,
8.30,-37.20,
12.00,-41.80,
12.90,-45.00,
25.00,-45.00,
25.00,-50.00,
35.00,-54.00,
52.00,-55.00,
55.00,-59.00,
70.50,-59.90,
81.50,-70.20,
86.50,-72.20,
180.00,-72.20,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-75.00,
-93.50,-75.00,
-77.00,-68.70,
-52.50,-65.00,
-13.30,-65.00,
-11.30,-57.30,
-9.80,-53.30,
-2.30,-51.00,
-1.30,-42.00,
-0.80,-30.00,
0.00,-30.00,
0.80,-30.00,
1.30,-42.00,
2.30,-51.00,
9.80,-53.30,
11.30,-57.30,
13.30,-65.00,
52.50,-65.00,
77.00,-68.70,
93.50,-75.00,
180.00,-75.00,
ENDFIL:,EOF
