REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PXL15-82
PATNUM:,2859C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19921102
LOWFRQ:,8200
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,48.5
MDGAIN:,48.6
HGGAIN:,48.7
AZWIDT:,0.60
ELWIDT:,0.60
ATVSWR:,1.06
FRTOBA:,65.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,37
-180.00,-65.00,
-140.00,-65.00,
-120.00,-61.00,
-110.00,-50.00,
-55.00,-50.00,
-45.00,-47.00,
-25.00,-47.00,
-15.00,-41.00,
-13.00,-34.00,
-8.00,-34.00,
-6.00,-31.00,
-3.50,-31.00,
-1.50,-16.00,
-1.00,-16.00,
-0.80,-10.28,
-0.60,-5.78,
-0.40,-2.57,
-0.20,-0.64,
0.00,0.00,
0.20,-0.64,
0.40,-2.57,
0.60,-5.78,
0.80,-10.28,
1.00,-16.00,
1.50,-16.00,
3.50,-31.00,
6.00,-31.00,
8.00,-34.00,
13.00,-34.00,
15.00,-41.00,
25.00,-47.00,
45.00,-47.00,
55.00,-50.00,
110.00,-50.00,
120.00,-61.00,
140.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-65.00,
-140.00,-65.00,
-110.00,-63.00,
-30.00,-63.00,
-20.00,-52.00,
-15.00,-52.00,
-7.50,-52.00,
-5.00,-44.00,
-2.50,-40.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.50,-40.00,
5.00,-44.00,
7.50,-52.00,
15.00,-52.00,
20.00,-52.00,
30.00,-63.00,
110.00,-63.00,
140.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-65.00,
-140.00,-65.00,
-120.00,-61.00,
-110.00,-50.00,
-55.00,-50.00,
-35.00,-50.00,
-25.00,-48.00,
-15.00,-43.00,
-13.00,-38.00,
-8.00,-38.00,
-6.50,-32.00,
-3.50,-32.00,
-1.50,-16.00,
-1.00,-16.00,
-0.80,-10.28,
-0.60,-5.78,
-0.40,-2.57,
-0.20,-0.64,
0.00,0.00,
0.20,-0.64,
0.40,-2.57,
0.60,-5.78,
0.80,-10.28,
1.00,-16.00,
1.50,-16.00,
3.50,-32.00,
6.50,-32.00,
8.00,-38.00,
13.00,-38.00,
15.00,-43.00,
25.00,-48.00,
35.00,-50.00,
55.00,-50.00,
110.00,-50.00,
120.00,-61.00,
140.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-65.00,
-140.00,-65.00,
-110.00,-63.00,
-30.00,-63.00,
-15.00,-56.00,
-6.00,-50.00,
-2.50,-42.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.50,-42.00,
6.00,-50.00,
15.00,-56.00,
30.00,-63.00,
110.00,-63.00,
140.00,-65.00,
180.00,-65.00,
ENDFIL:,EOF
