REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP15-82
PATNUM:,2889C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19921102
LOWFRQ:,8200
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,48.6
MDGAIN:,48.8
HGGAIN:,48.9
AZWIDT:,0.60
ELWIDT:,0.60
ATVSWR:,1.06
FRTOBA:,71.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-71.00,
-100.00,-71.00,
-80.00,-49.00,
-40.00,-49.00,
-20.00,-47.00,
-15.00,-47.00,
-14.00,-47.00,
-10.00,-38.00,
-6.00,-35.00,
-3.00,-23.00,
-1.60,-23.00,
-1.50,-20.00,
-1.40,-17.41,
-1.20,-12.80,
-1.00,-8.88,
-0.80,-5.68,
-0.60,-3.20,
-0.40,-1.42,
-0.20,-0.35,
0.00,0.00,
0.20,-0.35,
0.40,-1.42,
0.60,-3.20,
0.80,-5.68,
1.00,-8.88,
1.20,-12.80,
1.40,-17.41,
1.50,-20.00,
1.60,-23.00,
3.00,-23.00,
6.00,-35.00,
10.00,-38.00,
14.00,-47.00,
15.00,-47.00,
20.00,-47.00,
40.00,-49.00,
80.00,-49.00,
100.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-71.00,
-100.00,-71.00,
-70.00,-63.00,
-40.00,-62.00,
-20.00,-60.00,
-15.00,-60.00,
-13.00,-60.00,
-8.00,-53.00,
-4.00,-43.00,
-3.60,-35.00,
-2.25,-30.00,
0.00,-30.00,
2.25,-30.00,
3.60,-35.00,
4.00,-43.00,
8.00,-53.00,
13.00,-60.00,
15.00,-60.00,
20.00,-60.00,
40.00,-62.00,
70.00,-63.00,
100.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,35
-180.00,-71.00,
-100.00,-71.00,
-80.00,-49.00,
-40.00,-49.00,
-20.00,-48.00,
-15.00,-41.00,
-7.00,-28.00,
-3.00,-23.00,
-1.60,-23.00,
-1.50,-20.00,
-1.40,-17.41,
-1.20,-12.80,
-1.00,-8.88,
-0.80,-5.68,
-0.60,-3.20,
-0.40,-1.42,
-0.20,-0.35,
0.00,0.00,
0.20,-0.35,
0.40,-1.42,
0.60,-3.20,
0.80,-5.68,
1.00,-8.88,
1.20,-12.80,
1.40,-17.41,
1.50,-20.00,
1.60,-23.00,
3.00,-23.00,
7.00,-28.00,
15.00,-41.00,
20.00,-48.00,
40.00,-49.00,
80.00,-49.00,
100.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-71.00,
-100.00,-71.00,
-70.00,-63.00,
-40.00,-62.00,
-20.00,-60.00,
-15.00,-56.00,
-10.00,-48.00,
-4.00,-41.00,
-3.60,-35.00,
-2.25,-30.00,
0.00,-30.00,
2.25,-30.00,
3.60,-35.00,
4.00,-41.00,
10.00,-48.00,
15.00,-56.00,
20.00,-60.00,
40.00,-62.00,
70.00,-63.00,
100.00,-71.00,
180.00,-71.00,
ENDFIL:,EOF
