REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX15-82
PATNUM:,1238
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000802
LOWFRQ:,8200
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,48.7
MDGAIN:,48.8
HGGAIN:,48.9
AZWIDT:,0.60
ELWIDT:,0.60
ATVSWR:,1.06
FRTOBA:,76.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,37
-180.0,-81.0,
-94.0,-81.0,
-76.0,-62.0,
-44.0,-62.0,
-24.0,-52.0,
-15.0,-52.0,
-13.0,-48.0,
-7.5,-43.0,
-6.0,-35.0,
-2.5,-34.0,
-1.5,-25.0,
-0.9,-25.0,
-0.7,-9.0,
-0.4,-2.3,
-0.1,-0.2,
0.0,0.0,
0.1,-0.2,
0.4,-2.3,
0.7,-9.0,
0.9,-27.0,
2.0,-27.0,
2.4,-31.0,
3.0,-31.0,
3.3,-36.0,
6.2,-38.0,
7.5,-48.0,
14.0,-50.0,
15.0,-54.0,
22.0,-54.0,
24.0,-57.0,
34.0,-58.0,
44.0,-59.0,
54.0,-64.0,
70.0,-64.0,
77.0,-66.0,
94.0,-81.0,
180.0,-81.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,22
-180.0,-83.0,
-86.0,-83.0,
-78.0,-78.0,
-52.0,-78.0,
-50.0,-74.0,
-28.0,-74.0,
-25.0,-68.0,
-16.0,-68.0,
-15.0,-65.0,
-10.5,-58.0,
-2.5,-58.0,
-1.0,-40.0,
0.0,-40.0,
1.0,-40.0,
2.0,-60.0,
4.5,-60.0,
10.0,-74.0,
15.0,-74.0,
58.0,-74.0,
73.0,-77.0,
86.0,-83.0,
180.0,-83.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,32
-180.0,-81.0,
-90.0,-81.0,
-76.0,-65.0,
-30.0,-57.0,
-26.0,-51.0,
-21.0,-51.0,
-19.0,-47.0,
-15.0,-46.0,
-14.0,-42.0,
-7.5,-42.0,
-6.3,-38.0,
-2.5,-32.0,
-1.5,-26.0,
-0.9,-26.0,
-0.7,-9.0,
-0.4,-2.3,
-0.1,-0.2,
0.0,0.0,
0.1,-0.2,
0.4,-2.3,
0.7,-9.0,
0.9,-27.0,
2.0,-27.0,
2.5,-33.0,
6.5,-37.0,
8.0,-48.0,
15.0,-52.0,
30.0,-57.0,
70.0,-63.0,
76.0,-64.0,
100.0,-81.0,
180.0,-81.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,20
-180.0,-81.0,
-80.0,-81.0,
-64.0,-74.0,
-48.0,-71.0,
-20.0,-70.0,
-15.0,-63.0,
-14.0,-61.0,
-12.0,-56.0,
-2.0,-56.0,
-1.0,-40.0,
0.0,-40.0,
1.0,-40.0,
2.0,-56.0,
6.0,-62.0,
9.0,-74.0,
15.0,-74.0,
50.0,-74.0,
80.0,-77.0,
86.0,-81.0,
180.0,-81.0,
ENDFIL:,EOF
