REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P6F-9
PATNUM:,2302
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19950315
LOWFRQ:,890
HGHFRQ:,960
GUNITS:,DBI/DBR
LWGAIN:,21.5
MDGAIN:,21.9
HGGAIN:,22.2
AZWIDT:,13.00
ELWIDT:,13.00
ATVSWR:,1.30
FRTOBA:,24.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,49
-180.00,-24.00,
-161.00,-24.00,
-158.00,-30.00,
-122.50,-30.00,
-94.00,-19.00,
-74.50,-19.00,
-68.00,-21.00,
-40.00,-21.00,
-25.00,-17.40,
-15.00,-11.20,
-12.00,-7.90,
-10.00,-6.00,
-9.00,-4.80,
-8.00,-3.70,
-7.00,-2.90,
-6.00,-2.00,
-5.00,-1.30,
-4.50,-1.10,
-4.00,-0.90,
-3.50,-0.70,
-3.00,-0.40,
-2.50,-0.30,
-2.00,-0.10,
-1.50,0.00,
0.00,0.00,
1.50,0.00,
2.00,-0.10,
2.50,-0.30,
3.00,-0.40,
3.50,-0.70,
4.00,-0.90,
4.50,-1.10,
5.00,-1.30,
6.00,-2.00,
7.00,-2.90,
8.00,-3.70,
9.00,-4.80,
10.00,-6.00,
12.00,-7.90,
15.00,-11.20,
25.00,-17.40,
40.00,-21.00,
68.00,-21.00,
74.50,-19.00,
94.00,-19.00,
122.50,-30.00,
158.00,-30.00,
161.00,-24.00,
180.00,-24.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.00,-30.00,
-121.50,-30.00,
-110.00,-28.00,
-46.00,-28.00,
-30.00,-24.20,
-22.00,-17.00,
-15.00,-12.00,
0.00,-12.00,
15.00,-12.00,
22.00,-17.00,
30.00,-24.20,
46.00,-28.00,
110.00,-28.00,
121.50,-30.00,
180.00,-30.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,49
-180.00,-24.00,
-161.00,-24.00,
-158.00,-30.00,
-122.50,-30.00,
-94.00,-19.00,
-74.50,-19.00,
-68.00,-21.00,
-40.00,-21.00,
-25.00,-17.40,
-15.00,-11.20,
-12.00,-7.90,
-10.00,-6.00,
-9.00,-4.80,
-8.00,-3.70,
-7.00,-2.90,
-6.00,-2.00,
-5.00,-1.30,
-4.50,-1.10,
-4.00,-0.90,
-3.50,-0.70,
-3.00,-0.40,
-2.50,-0.30,
-2.00,-0.10,
-1.50,0.00,
0.00,0.00,
1.50,0.00,
2.00,-0.10,
2.50,-0.30,
3.00,-0.40,
3.50,-0.70,
4.00,-0.90,
4.50,-1.10,
5.00,-1.30,
6.00,-2.00,
7.00,-2.90,
8.00,-3.70,
9.00,-4.80,
10.00,-6.00,
12.00,-7.90,
15.00,-11.20,
25.00,-17.40,
40.00,-21.00,
68.00,-21.00,
74.50,-19.00,
94.00,-19.00,
122.50,-30.00,
158.00,-30.00,
161.00,-24.00,
180.00,-24.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.00,-30.00,
-121.50,-30.00,
-110.00,-28.00,
-46.00,-28.00,
-30.00,-24.20,
-22.00,-17.00,
-15.00,-12.00,
0.00,-12.00,
15.00,-12.00,
22.00,-17.00,
30.00,-24.20,
46.00,-28.00,
110.00,-28.00,
121.50,-30.00,
180.00,-30.00,
ENDFIL:,EOF
