REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P12F-9
PATNUM:,2319E
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19740428
LOWFRQ:,890
HGHFRQ:,960
GUNITS:,DBI/DBR
LWGAIN:,27.7
MDGAIN:,28.0
HGGAIN:,28.3
AZWIDT:,6.70
ELWIDT:,0.00
ATVSWR:,1.30
FRTOBA:,30.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,41
-180.00,-30.00,
-172.00,-30.00,
-155.00,-38.00,
-120.00,-38.00,
-85.00,-25.00,
-75.00,-25.00,
-66.50,-28.00,
-50.00,-28.00,
-33.50,-25.00,
-15.00,-16.80,
-10.00,-13.60,
-8.80,-10.00,
-6.50,-5.00,
-5.00,-2.90,
-4.00,-1.80,
-3.00,-1.10,
-2.50,-0.80,
-2.00,-0.40,
-1.50,-0.20,
-1.00,0.00,
0.00,0.00,
1.00,0.00,
1.50,-0.20,
2.00,-0.40,
2.50,-0.80,
3.00,-1.10,
4.00,-1.80,
5.00,-2.90,
6.50,-5.00,
8.80,-10.00,
10.00,-13.60,
15.00,-16.80,
33.50,-25.00,
50.00,-28.00,
66.50,-28.00,
75.00,-25.00,
85.00,-25.00,
120.00,-38.00,
155.00,-38.00,
172.00,-30.00,
180.00,-30.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,11
-180.00,-38.00,
-120.00,-38.00,
-36.00,-35.50,
-15.00,-24.00,
-6.40,-15.00,
0.00,-15.00,
6.40,-15.00,
15.00,-24.00,
36.00,-35.50,
120.00,-38.00,
180.00,-38.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,41
-180.00,-30.00,
-172.00,-30.00,
-155.00,-38.00,
-120.00,-38.00,
-85.00,-25.00,
-75.00,-25.00,
-66.50,-28.00,
-50.00,-28.00,
-33.50,-25.00,
-15.00,-16.80,
-10.00,-13.60,
-8.80,-10.00,
-6.50,-5.00,
-5.00,-2.90,
-4.00,-1.80,
-3.00,-1.10,
-2.50,-0.80,
-2.00,-0.40,
-1.50,-0.20,
-1.00,0.00,
0.00,0.00,
1.00,0.00,
1.50,-0.20,
2.00,-0.40,
2.50,-0.80,
3.00,-1.10,
4.00,-1.80,
5.00,-2.90,
6.50,-5.00,
8.80,-10.00,
10.00,-13.60,
15.00,-16.80,
33.50,-25.00,
50.00,-28.00,
66.50,-28.00,
75.00,-25.00,
85.00,-25.00,
120.00,-38.00,
155.00,-38.00,
172.00,-30.00,
180.00,-30.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,11
-180.00,-38.01,
-120.00,-38.00,
-36.00,-35.50,
-15.00,-24.00,
-6.40,-15.00,
0.00,-15.00,
6.40,-15.00,
15.00,-24.00,
36.00,-35.50,
120.00,-38.00,
180.00,-38.01,
ENDFIL:,EOF
